NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
358,서울특별시 송파구 풍납동,201906,69500,202007,71469
359,서울특별시 송파구 풍납동,201906,91000,202007,72274
360,서울특별시 송파구 문정동,201906,157000,202007,73462
361,서울특별시 송파구 풍납동,201906,92250,202007,73572
362,서울특별시 송파구 방이동,201906,110000,202007,74592
363,서울특별시 송파구 잠실동,201906,205000,202007,73984
364,서울특별시 송파구 방이동,201906,130000,202007,75175
365,서울특별시 송파구 마천동,201906,87500,202007,75249
366,서울특별시 송파구 방이동,201906,145000,202007,75829
367,서울특별시 송파구 신천동,201906,149000,202008,76129
368,서울특별시 송파구 신천동,201906,148000,202008,75903
369,서울특별시 송파구 문정동,201906,138000,202008,76075
370,서울특별시 송파구 문정동,201906,124000,202008,77744
371,서울특별시 송파구 가락동,201906,80000,202008,78089
372,서울특별시 송파구 가락동,201906,116000,202008,78816
373,서울특별시 송파구 잠실동,201906,192000,202008,77949
374,서울특별시 송파구 장지동,201906,70000,202008,77663
375,서울특별시 송파구 거여동,201906,64000,202008,76178
376,서울특별시 송파구 거여동,201906,54000,202008,73863
377,서울특별시 송파구 문정동,201906,42000,202008,73599
378,서울특별시 송파구 잠실동,201906,212000,202008,74298
379,서울특별시 송파구 장지동,201906,88000,202008,74395
380,서울특별시 송파구 문정동,201906,60000,202008,74669
381,서울특별시 송파구 잠실동,201906,165000,202008,76469
382,서울특별시 송파구 문정동,201906,166000,202008,75653
383,서울특별시 송파구 잠실동,201906,170000,202008,73895
384,서울특별시 송파구 가락동,201906,74000,202008,74191
385,서울특별시 송파구 가락동,201906,72500,202008,74595
386,서울특별시 송파구 잠실동,201906,170000,202008,74405
387,서울특별시 송파구 오금동,201906,79000,202008,73961
388,서울특별시 송파구 가락동,201906,69500,202008,73282
389,서울특별시 송파구 거여동,201906,88750,202008,74181
390,서울특별시 송파구 신천동,201906,190000,202008,74320
391,서울특별시 송파구 가락동,201906,81500,202008,74698
392,서울특별시 송파구 장지동,201906,78000,202008,74944
393,서울특별시 송파구 신천동,201906,151000,202009,75885
394,서울특별시 송파구 잠실동,201906,170000,202009,74979
395,서울특별시 송파구 잠실동,201906,169800,202009,74125
396,서울특별시 송파구 잠실동,201906,144000,202009,74153
397,서울특별시 송파구 오금동,201906,132000,202009,73916
398,서울특별시 송파구 잠실동,201906,150000,202009,73920
399,서울특별시 송파구 잠실동,201906,82000,202009,73751
400,서울특별시 송파구 거여동,201906,41500,202009,73912
401,서울특별시 송파구 잠실동,201906,155000,202009,74400
402,서울특별시 송파구 장지동,201906,122700,202009,74208
403,서울특별시 송파구 장지동,201906,85000,202009,74330
404,서울특별시 송파구 가락동,201906,18000,202009,74149
405,서울특별시 송파구 가락동,201906,80000,202009,74609
406,서울특별시 송파구 방이동,201906,65000,202009,74205
407,서울특별시 송파구 거여동,201906,52500,202009,73432
408,서울특별시 송파구 장지동,201906,69900,202009,73062
409,서울특별시 송파구 잠실동,201906,178000,202009,73173
410,서울특별시 송파구 문정동,201906,160000,202009,72804
411,서울특별시 송파구 가락동,201906,70500,202009,71272
412,서울특별시 송파구 거여동,201906,42700,202009,70412
413,서울특별시 송파구 풍납동,201906,69500,202009,70331
414,서울특별시 송파구 풍납동,201906,66000,202009,70656
415,서울특별시 송파구 문정동,201906,125000,202009,70406
416,서울특별시 송파구 송파동,201906,95000,202009,70307
417,서울특별시 송파구 풍납동,201906,86500,202009,70902
418,서울특별시 송파구 가락동,201906,86500,202009,71096
419,서울특별시 송파구 문정동,201906,150000,202010,71066
420,서울특별시 송파구 송파동,201906,99000,202010,71741
421,서울특별시 송파구 문정동,201906,89000,202010,71372
422,서울특별시 송파구 장지동,201906,80000,202010,70878
423,서울특별시 송파구 거여동,201906,59700,202010,71467
424,서울특별시 송파구 문정동,201906,88500,202010,70562
425,서울특별시 송파구 문정동,201906,135000,202010,70201
426,서울특별시 송파구 신천동,201906,185000,202010,70640
427,서울특별시 송파구 장지동,201906,97500,202010,71131
428,서울특별시 송파구 문정동,201906,190000,202010,71160
429,서울특별시 송파구 장지동,201906,125000,202010,70944
430,서울특별시 송파구 방이동,201906,190000,202010,69951
431,서울특별시 송파구 신천동,201906,165000,202010,70206
432,서울특별시 송파구 가락동,201906,140000,202010,69931
433,서울특별시 송파구 잠실동,201906,166500,202010,69850
434,서울특별시 송파구 가락동,201906,69300,202010,70197
435,서울특별시 송파구 방이동,201906,81000,202010,69697
436,서울특별시 송파구 장지동,201906,68500,202010,70026
437,서울특별시 송파구 신천동,201906,74000,202010,70015
438,서울특별시 송파구 문정동,201906,45000,202010,69291
439,서울특별시 송파구 방이동,201906,213000,202010,69160
440,서울특별시 송파구 거여동,201906,71900,202010,69160
441,서울특별시 송파구 방이동,201906,85000,202010,69111
442,서울특별시 송파구 방이동,201906,89000,202010,69547
443,서울특별시 송파구 오금동,201906,149500,202010,68618
